PRODUCT NAME,PRODUCT CATEGORY,PRICE,DISCOUNT,WEIGHT,UNIT,PRICE PER KG,PRICE BEFORE DISCUONT
Potato,Potato,30,41,1,kg ,30,51
Onion (Loose),Onion,18,37,500,g ,36,57
Coriander Leaves With Roots - Enhances Flavour Of The Dishes,Coriander,4.22,20,100,g ,42,53
Potato,Potato,29,38,1,kg ,29,47
Ladies' Fingers (Loose),Ladies',47,46,1,kg ,47,87
Tomato - Local (Loose),Tomato,7.5,74,500,g ,15,58
Coriander Leaves,Coriander,3.62,20,100,g ,36,45
Cucumber (Loose),Cucumber,24,53,1,kg ,24,51
Ginger - Organically Grown (Loose),Ginger,5,59,100,g ,50,122
"Palak - Cleaned, without roots",Palak,10.11,6,250,g ,40,43
Capsicum - Green (Loose),Capsicum,38,59,1,kg ,38,93
Cauliflower,Cauliflower,19,60,1,kg,19,48
Bottle Gourd (Loose),Bottle,13,64,1,kg,13,36
Banana - Yelakki,Banana,25,39,250,g ,100,164
Dasheri Mango (Malihabadi),Mango,105.21,20,1,kg ,105,132
Tomato - Hybrid,Tomato,5,45,250,g ,20,36
"Orange - Nagpur, Regular",Orange,203.83,20,3,kg ,68,85
Baby Apple Shimla,Apple,189,33,1,kg ,189,282
Carrot - Orange (Loose),Carrot,46,46,1,kg ,46,85
Banana - Robusta,Banana,51,27,1,kg ,51,70
Beans - Haricot (Loose),Beans,52,56,1,kg ,52,118
Garlic - Organically Grown (Loose),Garlic,370,38,1,kg ,370,597
"Tomato - Local, Organically Grown (Loose)",Tomato,22.5,49,1,kg ,23,44
Onion - Organically Grown (Loose),Onion,87,44,2,kg ,44,78
Radish - White (Loose),Radish,20,66,1,kg ,20,59
Broccoli,Broccoli,21,49,1,kg,21,41
Ridge Gourd,Ridge,47,54,1,kg ,47,102
"Methi/Venthaya Keerai - Cleaned, without roots",Methi,20,54,1,kg ,20,43
"Chilli - Green Long, Medium (Loose)",Chilli,95.34,20,1,kg ,95,119
Beans - Cowpea (Loose),Beans,117.64,24,1,kg ,118,155
"Avocado - Imported, Medium (Loose)",Avocado,89,34,1,kg,89,135
Parwal (Loose),Parwal,216,43,1,kg ,216,379
Coconut - Medium,Coconut,39,45,1,kg,39,71
Curry Leaves,Curry,173.15,20,1,kg ,173,216
