PRODUCT NAME,PRISE,WEIGHT,DISCOUNT
Potato,30.0,1 kg ,41% OFF
Onion (Loose),18.0,500 g ,37% OFF
Coriander Leaves With Roots - Enhances Flavour Of The Dishes,4.22,100 g ,20% OFF
Potato,29.0,1 kg ,38% OFF
Ladies' Fingers (Loose),47.0,1 kg ,46% OFF
Tomato - Local (Loose),7.5,500 g ,74% OFF
Coriander Leaves,3.62,100 g ,20% OFF
Cucumber (Loose),24.0,1 kg ,53% OFF
Ginger - Organically Grown (Loose),5.0,100 g ,59% OFF
"Palak - Cleaned, without roots",10.11,250 g ,6% OFF
Capsicum - Green (Loose),38.0,1 kg ,59% OFF
Cauliflower,19.0,NA,60% OFF
Bottle Gourd (Loose),13.0,NA,64% OFF
Banana - Yelakki,25.0,250 g ,39% OFF
Dasheri Mango (Malihabadi),105.21,1 kg ,20% OFF
Tomato - Hybrid,5.0,250 g ,45% OFF
"Orange - Nagpur, Regular",203.83,3 x 1 kg - Multipack,20% OFF
Baby Apple Shimla,189.0,1 kg ,33% OFF
"Apple - Shimla, Regular",264.0,2x4 pcs - Multipack,29% OFF
Carrot - Orange (Loose),46.0,1 kg ,46% OFF
Banana - Robusta,51.0,1 kg ,27% OFF
Beans - Haricot (Loose),52.0,1 kg ,56% OFF
Garlic - Organically Grown (Loose),370.0,1 kg ,38% OFF
"Tomato - Local, Organically Grown (Loose)",22.5,1 kg ,49% OFF
Onion - Organically Grown (Loose),87.0,2 kg ,44% OFF
Radish - White (Loose),20.0,1 kg ,66% OFF
Broccoli,21.0,NA,49% OFF
Ridge Gourd,47.0,1 kg ,54% OFF
"Methi/Venthaya Keerai - Cleaned, without roots",20.0,1 kg ,54% OFF
Cabbage,15.0,1 pc - (approx. 450 to 700 g),42% OFF
"Chilli - Green Long, Medium (Loose)",95.34,1 kg ,20% OFF
Beans - Cowpea (Loose),117.64,1 kg ,24% OFF
"Avocado - Imported, Medium (Loose)",89.0,NA,34% OFF
Parwal (Loose),216.0,1 kg ,43% OFF
Coconut - Medium,39.0,NA,45% OFF
Curry Leaves,173.15,1 kg ,20% OFF
"Banana - Yelakki, Organically Grown",100.0,1 kg ,42% OFF
"Pear - Green, Imported",270.0,3x2 pcs - Multipack,23% OFF
Papaya - Small,63.51,NA,24% OFF
Drumstick/Moringa,116.17,1 kg ,20% OFF
Bitter Gourd (Loose),66.0,1 kg ,48% OFF
"Tomato - Hybrid, Organically Grown (Loose)",28.0,1 kg ,36% OFF
Thai Guava - White Centre,47.12,NA,20% OFF
Palak - Organically Grown,84.0,1 kg ,24% OFF
Ginger (Loose),66.0,1 kg ,39% OFF
Coccinia (Loose),63.0,1 kg ,37% OFF
Pomegranate - Regular,266.3,NA,20% OFF
Blueberry,295.89,NA,20% OFF
Pomegranate,220.0,NA,45% OFF
Mini Orange Imported,270.0,1 kg ,29% OFF
Cucumber - Organically Grown (Loose),36.0,1 kg ,60% OFF
Cucumber - English (Loose),48.0,1 kg ,51% OFF
Watermelon  - Small,60.5,1 pc - 1.7 - 2.5 kg,24% OFF
Garlic - Peeled,477.81,1 kg ,20% OFF
Cut Roses,136.0,500 g ,24% OFF
Mushrooms - Button,48.22,NA,20% OFF
"Chilli - Green, Organically Grown",44.0,500 g ,54% OFF
Lemon (Loose),26.0,250 g ,24% OFF
Banana - Nendran,124.0,1 kg ,34% OFF
Custard Apple,104.11,1 kg ,24% OFF
Apple - Pink Lady,268.6,NA,24% OFF
"Capsicum - Green, Organically Grown (Loose)",11.5,250 g ,42% OFF
Guava (Loose),119.46,1 kg ,20% OFF
Colocasia (Loose),113.98,1 kg ,20% OFF
Kiwi - Green,175.34,NA,20% OFF
Amla (Loose),96.82,1 kg ,24% OFF
Brinjal - Varikatri (Loose),15.5,250 g ,25% OFF
Tender Coconut - Small,56.0,NA,22% OFF
Beetroot (Loose),13.0,500 g ,47% OFF
Beans - Broad (Loose),92.0,1 kg ,25% OFF
"Orange - Nagpur, Small",80.16,NA,24% OFF
Baby Potato (Loose),29.59,1 kg ,20% OFF
